Message Type,Transmission Type,Session ID,AircraftID,HexIdnet,FlightID,Date MSG Generated,Time MSG Generated,Time MSG Received,Time MSG Received,a,b,c,d,Latitude,Longitude,e,f,g,h,i,j,,,,,,
MSG,5,1,1,7C6D9D,1,10/1/2018,33:54.7,10/1/2018,33:54.8,,25250,342,230,,,,,0,,0,,,,,,,
MSG,6,1,1,7C6D9D,1,10/1/2018,33:54.7,10/1/2018,33:54.8,,,,,,,,1305,0,0,0,,,,,,,
MSG,6,1,1,7C6D9D,1,10/1/2018,33:54.7,10/1/2018,33:54.8,,,436,19,,,,1305,0,0,0,,,,,,,
MSG,4,1,1,7C6C2B,1,10/1/2018,33:54.8,10/1/2018,33:54.8,,,378,18,,,2688,,,,,0,,,,,,
MSG,5,1,1,7C089A,1,10/1/2018,33:54.8,10/1/2018,33:54.9,,24175,,,,,2176,,0,,0,,,,,,,
MSG,6,1,1,7C089A,1,10/1/2018,33:54.9,10/1/2018,33:54.9,,,,,,,,1333,0,0,0,,,,,,,
MSG,6,1,1,7C089A,1,10/1/2018,33:54.9,10/1/2018,33:54.9,,,440,15,,,,1333,0,0,0,,,,,,,
MSG,6,1,1,7C5C50,1,10/1/2018,33:54.9,10/1/2018,33:54.9,,,,,,,,1200,0,0,0,,,,,,,
MSG,3,1,1,7C5C50,1,10/1/2018,33:54.9,10/1/2018,33:54.9,,2250,,,-33.51426,151.25231,,,0,,0,,,,,,,
MSG,6,1,1,7C6D9D,1,10/1/2018,33:54.9,10/1/2018,33:54.9,,,,,,,,1305,0,0,0,,,,,,,
MSG,3,1,1,7C6C2B,1,10/1/2018,33:54.9,10/1/2018,33:55.0,,10525,,,-33.61733,151.493,,,0,,0,0,,,,,,
MSG,5,1,1,7C6C2B,1,10/1/2018,33:55.0,10/1/2018,33:55.0,,10550,,,,,2752,,0,,0,,,,,,,
MSG,8,1,1,7C6D9D,1,10/1/2018,33:55.0,10/1/2018,33:55.1,,,,,,,,,,,,0,,,,,,
MSG,3,1,1,7C089A,1,10/1/2018,33:55.0,10/1/2018,33:55.1,,24175,,,-33.20361,151.81957,,,0,,0,0,,,,,,
MSG,4,1,1,7C089A,1,10/1/2018,33:55.0,10/1/2018,33:55.1,,,440,15,,,2112,,,,,0,,,,,,
MSG,7,1,1,7C6D9D,1,10/1/2018,33:55.1,10/1/2018,33:55.1,,25250,,,,,,,,,,,,,,,,
MSG,1,1,1,7C6D9D,1,10/1/2018,33:55.1,10/1/2018,33:55.1,QFA532  ,,,,,,,,,,,0,,,,,,
MSG,7,1,1,7C6C2B,1,10/1/2018,33:55.1,10/1/2018,33:55.2,,10550,,,,,,,,,,,,,,,,
MSG,6,1,1,7C6C2B,1,10/1/2018,33:55.1,10/1/2018,33:55.2,,,,,,,,1416,0,0,0,,,,,,,
MSG,1,1,1,7C6C2B,1,10/1/2018,33:55.1,10/1/2018,33:55.2,TGG372  ,,,,,,,,,,,0,,,,,,
MSG,3,1,1,7C6D9D,1,10/1/2018,33:55.1,10/1/2018,33:55.2,,25250,,,-32.98778,151.71866,,,0,,0,0,,,,,,
MSG,8,1,1,7C6C2B,1,10/1/2018,33:55.2,10/1/2018,33:55.2,,,,,,,,,,,,0,,,,,,
MSG,7,1,1,7C089A,1,10/1/2018,33:55.2,10/1/2018,33:55.2,,24175,,,,,,,,,,,,,,,,
MSG,4,1,1,7C6D9D,1,10/1/2018,33:55.2,10/1/2018,33:55.2,,,436,19,,,1856,,,,,0,,,,,,
MSG,6,1,1,7C089A,1,10/1/2018,33:55.2,10/1/2018,33:55.3,,,,,,,,1333,0,0,0,,,,,,,
MSG,5,1,1,7C089A,1,10/1/2018,33:55.3,10/1/2018,33:55.3,,24175,,,,,,,0,,0,,,,,,,
MSG,8,1,1,7C089A,1,10/1/2018,33:55.3,10/1/2018,33:55.4,,,,,,,,,,,,0,,,,,,
MSG,4,1,1,7C6C2B,1,10/1/2018,33:55.3,10/1/2018,33:55.4,,,378,18,,,2688,,,,,0,,,,,,
MSG,3,1,1,7C6C2B,1,10/1/2018,33:55.5,10/1/2018,33:55.5,,10550,,,-33.61629,151.49339,,,0,,0,0,,,,,,
MSG,5,1,1,7C6D9D,1,10/1/2018,33:55.5,10/1/2018,33:55.5,,25275,,,,,,,0,,0,,,,,,,
MSG,5,1,1,7C6D9D,1,10/1/2018,33:55.5,10/1/2018,33:55.5,,25275,,,,,,,0,,0,,,,,,,
MSG,3,1,1,7C6D9D,1,10/1/2018,33:55.6,10/1/2018,33:55.6,,25275,,,-32.98701,151.71895,,,0,,0,0,,,,,,
MSG,7,1,1,7C6C2B,1,10/1/2018,33:55.7,10/1/2018,33:55.7,,10575,,,,,,,,,,,,,,,,
MSG,4,1,1,7C6D9D,1,10/1/2018,33:55.7,10/1/2018,33:55.8,,,436,19,,,1856,,,,,0,,,,,,
MSG,5,1,1,7C6C2B,1,10/1/2018,33:55.8,10/1/2018,33:55.8,,10575,,,,,,,0,,0,,,,,,,
MSG,6,1,1,7C6C2B,1,10/1/2018,33:55.8,10/1/2018,33:55.9,,,,,,,,1416,0,0,0,,,,,,,
MSG,4,1,1,7C6C2B,1,10/1/2018,33:55.9,10/1/2018,33:55.9,,,378,18,,,2688,,,,,0,,,,,,
